"Session","Workshop","Priority","BusinessOwner","Subprocess","AppId","AppName","PublicCloud2602","BusinessCatalog","Component","ScopeItemCandidate","ScopeItemId","TestScriptReference","FitGapDecision","DecisionStatus","PrimaryDecisionPrompt","BoundaryQuestion","EvidenceRequired","SecurityFocus","SoDReview","MexicoComplianceTopic","MexicoEvidence","FollowUpAction","SourceFile"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Missing time notification","F2556","Notify Missing Times","Si","SAP_HCM_BC_PRJ_TIMESHEET_PC","CA-TS-S4","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Overtime approval","F4937A","Approve Overtime Requests (S/4HANA)","No / validar","SAP_HCM_BC_MANAGER","PA-FIO-OVT","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Overtime request","F4939","My Overtime Requests","No / validar","SAP_HCMFAB_BC_EMPLOYEE_T","PA-FIO-OVT","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Time event","F1506B","My Time Events (S/4HANA / Version 3)","No / validar","SAP_HCM_BC_EMPLOYEE","PA-FIO-CIO","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Time event approval","F3099A","Approve Time Events (S/4HANA / Version 3)","No / validar","SAP_HCM_BC_MANAGER","PA-FIO-CIO","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Time sheet approval fallback","CAT4","Approve Timesheet","No / validar","Not found in exact FARL query","CA-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Time sheet display fallback","CAT3","Display Timesheet","No / validar","Not found in exact FARL query","CA-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Time sheet fallback","CAT2","Maintain Timesheet","No / validar","Not found in exact FARL query","CA-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet analytics","F7189","Timesheet Analytics - My Activities (S/4HANA)","No / validar","SAP_HCM_BC_EMPLOYEE","PA-FIO-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet approval","F2585A","Approve Timesheets (S/4HANA / Version 4)","No / validar","SAP_HCM_BC_MANAGER","PA-FIO-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet approval","F3328","My Inbox - Approve Timesheets","Si","SAP_HCM_BC_TS_WIAPPROVE_PC","CA-TS-S4","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet compliance","F8342","Timesheet Analytics - My Compliance (S/4HANA)","No / validar","SAP_HCM_BC_EMPLOYEE","PA-FIO-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet entry","F1823","Manage My Timesheet","Si","SAP_HCM_BC_EMP_PC","CA-TS-S4","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 2 - Time, leave and attendance","H2R time, leave, overtime and attendance","High","HR Time / Payroll Owner","Timesheet entry","F3074A","My Timesheet (S/4HANA / Version 4)","No / validar","SAP_HCM_BC_EMPLOYEE","PA-FIO-TS","Time management, leave and attendance","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Payroll/travel posting analytics","F2217","Display Line Items in General Ledger","Si","SAP_SFIN_BC_GL_ANALYTICS","FI-FIO-GL-IS","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Payroll/travel posting display","F7697","Display Journal Entries","Si","SAP_FIN_BC_DSPL_ACDOC_PC","FI-FIO-GL-TRA","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Payroll/travel posting review","F0717","Manage Journal Entries","Si","SAP_SFIN_BC_GL_JE_PROC","FI-FIO-GL-TRA","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel expense approval","F0410A","My Inbox - Approve Travel Expenses","No / validar","SAP_FND_BC_MANAGER_T","FI-FIO-TV-ATE","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel expense assistant","F0584B","Travel and Expenses for Travel Assistant","No / validar","SAP_FI_BC_TRV_ASSISTANT","FI-FIO-TV-MTE","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel expense fallback","PR05","Travel Expense Manager","No / validar","Without Catalog Assignment","FI-TV-COS","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel expenses","F0584A","My Travel and Expenses (Version 2)","No / validar","SAP_FI_BC_TRV","FI-FIO-TV-MTE","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel expenses","F6190","My Travel and Expenses for Business Traveler","No / validar","SAP_FI_BC_TRV","FI-FIO-TV-MTE","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
