"Workshop","Workstream","BusinessOwner","Priority","FitGapDecision","DecisionStatus","ScopeItem","TestScript","TenantEvidence","OpenQuestions","KeyValidation","RiskFlag","FollowUpAction","ProcessFamily","Source","Subprocess","AppId","AppName","AppType","Role","ReleaseAnchor","PublicCloud2602","Catalog","Component","UsageType","MexicoRelevant","SourceValidationStatus","SourceFile"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Billing request","F2960","Manage Billing Document Requests","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_DOC_REQ","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Billing schedule","F1518","Schedule Billing Release","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_SCHEDULE","SD-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Mexico compliance and fiscal evidence","Lead-to-Cash / Order-to-Cash","Tax / Localization Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Which fiscal evidence, CFDI/DRC step, approval and audit trail must be validated for this scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","CFDI Mexico","CFDI_MONITOR","Manage Digital Invoices - Mexico","SAP GUI","Tax / localization owner","S32PCE","Validar","Validar por localizacion","FI-LOC-SD-MX","Mexico overlay","Yes","Mexico fiscal validation required","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Clearing","F0773","Clear Incoming Payments","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_CLEARING","FI-FIO-AR-TRA","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Clearing","F2626","Assign Open Items","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_CLEARING","FI-FIO-AR","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections","F0380","Process Collections Worklist","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_COLWL","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections analytics","F2925","Cash Collection Tracker - Accounts Receivable","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_ANALYTICS","FI-FIO-AR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections analytics","F3182","Cash Collection Tracker - Collections Management","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_COL_ANALY","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections contacts","F4708","Manage Collection Contact Persons","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_COLWL","FIN-FIO-CCD-COL","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Process Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections email","F6120","Manage Collections Emails","Transactional","Others","S32PCE","Si","SAP_SFIN_BC_AR_COLWL","FIN-FIO-CCD-COL","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections master data","F5400","Manage Collections Master Data","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_COL_SETTING","FIN-FIO-CCD-COL","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections strategy","F2946","Manage Collection Strategies","Transactional","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_COL_SETTING","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Collections supervisor","F2375","Supervise Collections Worklist","Transactional","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_SUP_COLWL","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C analytics and controls","Lead-to-Cash / Order-to-Cash","Process Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Confirmacion requerida","F5308","Sales Order Items - Confirmed as Requested","Analytical","Others","S32PCE","Si","SAP_SD_BC_SALES_ANLYTS_OP","SD-ANA","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Contrato cambio masivo","F5275","Mass Change of Sales Contracts","Transactional","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_MCC_SLSDOC","SD-SLS-MCC","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Contrato de venta","F1851","Manage Sales Contracts","Transactional","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_CONTR_PROC_OP","SD-SLS","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Process Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Contrato de venta","F5987","Manage Sales Contracts - Version 2","Transactional","Others","S32PCE","Si","SAP_SD_BC_CONTR_PROC_OP","SD-SLS-OA-CCO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Cotizacion","F1852","Manage Sales Quotations","Transactional","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_QUOT_PROC_OP","SD-SLS","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Process Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Cotizacion","F5630","Manage Sales Quotation - Version 2","Transactional","Others","S32PCE","Si","SAP_SD_BC_QUOT_PROC_OP","SD-SLS-QUT","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Cotizacion import","F6381","Import Sales Quotations","Transactional","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_QTN_IMPORT","SD-SLS-IMP-SPR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Credit memo","F1989A","Manage Credit Memo Requests - Version 2","Transactional","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_CMR_PROC","SD-SLS-CMR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Credit memo fact sheet","F1846","Credit Memo Request","Fact sheet","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_DMR_CMR_DISPL","SD-SLS-CMR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C credit management","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Credito","F1751","Credit Limit Utilization (S/4HANA)","Analytical","Credit Controller","S32PCE","Si","SAP_SFIN_BC_CR_ANALYTICS","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
