"ProcessFamily","Source","Subprocess","AppId","AppName","AppType","Role","ReleaseAnchor","PublicCloud2602","Catalog","Component","UsageType","MexicoRelevant","ValidationStatus","SourceFile"
"Design-to-Operate","D2Operate","Defect recording","F2929","Record Defects","Transactional","Quality Technician","S32PCE","Si","SAP_QM_BC_DEFECT","QM-QN-DEF","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering BOM handoff","F6726","Hand Over Engineering Bills of Material (EBOM)","SAP Fiori - Remote","Production Engineer - Discrete Manufacturing","S36","Si","SAP_PLM_BC_PLMINTG_PC","PLM-INT-EPD","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change","F2097","Manage Change Records","Transactional","Development Manager - Discrete Industries","S32PCE","No / validar","SAP_PLM_BC_CR","PLM-CR","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change","F2212","Manage Change Masters","Transactional","Development Manager - Discrete Industries","S32PCE","Si","SAP_PLM_BC_CM","PLM-WUI-OBJ-ECN","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change fallback","CC01","Create Change Master","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change fallback","CC02","Change Change Master","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change fallback","CC03","Display Change Master","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Engineering change request","/PLMU/WDA_ECR_APP_OIF (/PLMU/WDA_ECR_APP_OIF_CFG)","Change Engineering Record, Create Engineering Record, Display Engineering Record","Web Dynpro","BOM Engineer","S32PCE","No / validar","SAP_PLM_BC_ER","PLM-WUI-OBJ-ECR","Standard / legacy UI","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Equipment fact sheet","F0226","Equipment","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Equipment fallback","IE01","Create Equipment","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Equipment fallback","IE02","Change Equipment","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Field data capture","F1041","Capture Field Data","Transactional","Field Operator (Oil & Gas)","S32PCE","No / validar","SAP_OILUPS_BC_FDOPERATOR","IS-OIL-UOM-FDC","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Functional location fact sheet","F0227","Functional Location","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Functional location fallback","IL01","Create Functional Location","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM-FL","SAP GUI fallback","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Functional location fallback","IL02","Change Functional Location","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM-FL","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection analytics","F3273","Inspection Lot Detailed Analytics","Transactional, Analytical","Quality Manager","S32PCE","Si","SAP_QM_BC_ANALYTICS","QM-QC-IS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection characteristic","F2219","Display Master Inspection Characteristic","Transactional","Quality Technician","S32PCE","Si","SAP_QM_BC_MSTR_INSP_CHARC","QM-FIO-PT","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection checklist","F6607","Manage Inspection Checklists","Transactional","Maintenance Planner","S32PCE","No / validar","SAP_EAM_BC_INSPCHKLST","PM-FIO-WOC-CHL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection lot","F2343","Manage Inspection Lots","Transactional","Quality Technician","S32PCE","Si","SAP_QM_BC_INSPECTION_LOT","QM-FIO-IM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection processing fallback","QA32","Change Data for Inspection Lot","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","QM-IM","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection results","F1685A","Record Inspection Results (Version 2)","Transactional","Quality Technician","S32PCE","Si","SAP_QM_BC_RESULT_RECG","QM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection results","F3365","Record Inspection Results in Table Form","Transactional","Quality Technician","S32PCE","Si","SAP_QM_BC_RESULT_RECG","QM-IM-RR","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Inspection results fallback","QE51N","Results Recording Worklist","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","QM-IM-RR","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Isolation certificate templates","F8505","Manage Isolation Certificate Templates","Transactional","Industrial Hygienist","S32PCE","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Isolation certificates","F8504","Manage Isolation Certificate","Transactional","Maintenance Planner","S32PCE","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Job card","EAMS_WDA_JOB_PREVIEW_OIF (EAMS_WDA_JOB_PREVIEW_OIF_CFG)","Job Card","Web Dynpro","Other","S32PCE","No / validar","Without Catalog Assignment","PM","Standard / legacy UI","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Job reference document","EAMS_WDA_JOB_OIF (EAMS_WDA_JOB_OIF_CFG_V2)","Display Reference Document for Job","Web Dynpro","Other","S32PCE","No / validar","Without Catalog Assignment","PM","Standard / legacy UI","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Linear asset data","F7018","View Dynamic Segments of Linear Data","Transactional","Maintenance Planner","S32PCE","No / validar","SAP_EAM_BC_NWGRAPH_DSP","PM-EQ","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance app logs","F8707","Application Logs - Manage Maintenance Notifications and Orders","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_MNTWRK_MNG_PC","PM-FIO-WOC-MO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance backlog","F4073","Manage Maintenance Backlog","Transactional","Maintenance Planner","S32PCE","Si","SAP_EAM_BC_PLNBKTS_MNG","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance backlog","F5105","Maintenance Backlog Overview","Analytical","Maintenance Planner","S32PCE","Si","SAP_EAM_BC_PLNBKTS_MNG","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance completion","F8724","Find Maintenance Orders for Completion","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_ORD_MNG_PC","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance confirmation","F2174","Find Maintenance Order Confirmation","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_ORD","PM-FIO-WOC-JC","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance item mass change","F8519","Schedule mass changes for maintenance items","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_MPLANIT_MC","PM-PRM-MP","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance job package log","F8771","Application Log for Maintenance Job Package","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_WRKPCK_MNG_PC","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance notification","F0228","Maintenance Notification","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance notification","F2071","Find Maintenance Notification","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_NTF","PM-FIO-WOC-MN","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance notification fallback","IW21","Create PM Notification","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-WOC-MN","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance notification fallback","IW22","Change PM Notification","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-WOC-MN","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order","F0231","Maintenance Order","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order","F2173","Find Maintenance Order and Operation","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_ORD","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order","F2175","Find Maintenance Order","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_ORD","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order fallback","IW31","Create Maintenance Order","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-WOC-MO","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order fallback","IW32","Change Maintenance Order","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-WOC-MO","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance order mass change","F8758","Mass Schedule Order Change","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_MNTWRK_MNG_PC","PM-FIO-WOC-MO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance plan","F0229","Maintenance Plan","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance plan fallback","IP01","Create Maintenance Plan","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-PRM-MP","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance plan fallback","IP02","Change Maintenance Plan","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-PRM-MP","SAP GUI fallback","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance plan logs","F8663","Application Log for Manage Maintenance Plans","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_MPLAN_MC","PM-PRM-MP","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance planning","F8723","Find Maintenance Orders for Planning","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_ORD_MNG_PC","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance request","F1511","Request Maintenance","Transactional","Employee - Maintenance Info","S32PCE","Si","SAP_EAM_BC_MREQ","PM-FIO-WOC-MN","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance request","F1511A","Create Maintenance Request","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_MREQ_MNG","PM-FIO-WOC-MN","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance request","F4513","My Maintenance Requests","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_MREQ_MNG","PM-FIO-WOC-MN","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Maintenance work management","F4604","Manage Maintenance Notifications and Orders","Transactional","Maintenance Planner","S32PCE","Si","SAP_EAM_BC_MNTWRK_MNG","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Malfunction reporting","F2023","Report and Repair Malfunction","Transactional","Maintenance Technician","S32PCE","Si","SAP_EAM_BC_CORRMAINT_MW","PM-FIO-WOC-JC","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Measuring document fallback","IK11","Create Measurement Document","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM-SF-MPC","SAP GUI fallback","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Measuring point fact sheet","F0384","Measuring Point","Fact sheet","Maintenance Technician","W13","No / validar","Without Catalog Assignment","PM-FIO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Measuring point fallback","IK01","Create Measuring Point","SAP GUI","Other","S32PCE","No / validar","Without Catalog Assignment","PM-EQM-SF-MPC","SAP GUI fallback","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Overdue maintenance","F8725","Find Overdue Maintenance Orders and Operations","Transactional","Maintenance Planner","S36","Si","SAP_EAM_BC_ORD_MC","PM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Permit object generation","F9005","Generate Permit to Work Objects","Transactional","Maintenance Planner","S32PCE","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Permit to work analytics","F7304","Permit to Work Overview","Analytical","Plant Manager - EHS Info","S32PCE","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Planned job confirmation","EAMS_WDA_JOBPC_OIF (EAMS_WDA_JOBPC_OIF_CFG_V2)","Confirm Planned Job","Web Dynpro","Other","S32PCE","No / validar","Without Catalog Assignment","PM","Standard / legacy UI","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Product marketability","F8002","Activate Compliance Requirements - Product Marketability","Transactional","Product Stewardship Specialist - Product Compliance","S36","Si","SAP_PSS_BC_PC_CRV_ACTV_PC","EHS-SUS-CI","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Product master","F1602","Manage Product Master","Transactional","Master Data Specialist - Product Data","S32PCE","Si","SAP_CMD_BC_PR_MAINT","LO-MD-MM","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Product structure fallback UI","/PLMU/WDA_PPE_OIF (/PLMU/WDA_PPE_CMP_OIF_CFG)","Change Product Structure, Create Product Structure, Display Product Stucture","Web Dynpro","BOM Engineer","S32PCE","No / validar","SAP_PLM_BC_PSM","PLM-WUI-OBJ-PSM","Standard / legacy UI","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Product structure overview","/PLMU/WDA_PPE_OVP (/PLMU/WDA_PPE_CMP_OVP_CONFG)","Change Product Structure, Create Product Structure, Display Product Structure","Web Dynpro","Other","S32PCE","No / validar","SAP_PLM_BC_PSM_OVP","PLM-WUI-OBJ-PSM","Standard / legacy UI","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Product structures","F2045","Manage Product Structures","Transactional","BOM Engineer","S32PCE","Si","SAP_PLM_BC_PSM","PLM-FIO-PSM","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Quality analytics","F8794","Inspection Lot Analytics - Mean Quality Score","Analytical","Quality Engineer","S36","Si","SAP_QM_BC_ANALYTICS_PC","QM-QC-IS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Quality analytics","F8795","Inspection Lot Analytics - Frequencies","Analytical","Quality Engineer","S36","Si","SAP_QM_BC_ANALYTICS_PC","QM-QC-IS","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Quality info records","F2256A","Manage Quality Info Records","Transactional","Quality Engineer","S32PCE","Si","SAP_QM_BC_QM_PROCUREMENT","QM-PT-RP-PRC","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","Quality issue","F0316","Report Quality Issue","Transactional","Quality Engineer","W13","No / validar","SAP_QM_BC_QUALITYENGINEER","QM-FIO","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
