"TraceabilityId","ProcessFamily","ProcessStage","ScopeItemCandidate","ScopeItemId","FioriAppId","FioriAppName","BusinessRole","BusinessCatalog","TechnicalCatalog","ApplicationComponent","ApiOrArtifactId","ApiOrArtifactType","ApiOrArtifactName","BtpService","BtpServicePlan","BtpMission","SignavioProcess","SignavioVariant","DeploymentModel","ReleaseAnchor","CountryOverlay","MexicoComplianceCue","SourceSystem","SourceUrl","SourceQuery","SourceRetrievedOn","EvidenceLevel","ValidationStatus","RefreshRequiredBeforeUse","OpenGaps","Owner","NextAction","Notes"
"SCI-TRACE-0011","Design-to-Operate","BOM mass maintenance","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F6863","Mass maintenance of bill of material headers","Others","SAP_PLM_BC_MBOM","TBD","PLM-FIO-BOM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F6863","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0012","Design-to-Operate","BOM transfer log","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F8118","Display Transfer Logs for Bills of Material","Administrator (Global Trade Services)","SAP_LLS_BC_ADM_SYC_LOG_PRE","TBD","FT-LEG-MDT","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","W52","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F8118","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0013","Design-to-Operate","BOM visualization","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F7802","Visualize Bill of Material","BOM Engineer","SAP_PLM_BC_MBOM","TBD","CA-DMS-CNV","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F7802","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0014","Design-to-Operate","Change master fallback UI","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","/PLMU/WDA_ECN_OIF (/PLMU/WDA_ECN_OIF_CFG)","Change Change Master, Create Change Master, Display Change Master","Other","Without Catalog Assignment","TBD","PLM-WUI-OBJ-ECN","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","/PLMU/WDA_ECN_OIF (/PLMU/WDA_ECN_OIF_CFG)","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0015","Design-to-Operate","Chemical approvals","EHS and product compliance","TBD - validate in SAP Process Navigator / tenant","F2243","Monitor Approved Chemicals","Hazardous Materials Manager","SAP_EHS_BC_HS_RSK_MGMT","TBD","EHS-SUS-HS","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2243","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0016","Design-to-Operate","Chemical approvals","EHS and product compliance","TBD - validate in SAP Process Navigator / tenant","F2244","My Chemical Approvals","Hazardous Materials Manager","SAP_EHS_BC_HS_RSK_MGMT","TBD","EHS-SUS-HS","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2244","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0017","Design-to-Operate","Chemical risk","EHS and product compliance","TBD - validate in SAP Process Navigator / tenant","F2161","Chemical Risks - Detailed Analysis","Hazardous Materials Manager","SAP_EHS_BC_HS_HAZMAT_MGMT","TBD","EHS-SUS-HS","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2161","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0018","Design-to-Operate","Dangerous goods compliance","EHS and product compliance","TBD - validate in SAP Process Navigator / tenant","F7712","Configure Compliance Requirements - Dangerous Goods Regulations","Dangerous Goods Specialist - Product Compliance","SAP_PSS_BC_PC_DG_CNFG_PC","TBD","EHS-SUS-DG","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S36","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F7712","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0019","Design-to-Operate","Defect processing","Quality management and defect processing","TBD - validate in SAP Process Navigator / tenant","F8046","Process Defects","Quality Technician","SAP_QM_BC_DEFECTS_PC","TBD","QM-QN-DEF","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S36","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F8046","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0020","Design-to-Operate","Defect recording","Quality management and defect processing","TBD - validate in SAP Process Navigator / tenant","F2929","Record Defects","Quality Technician","SAP_QM_BC_DEFECT","TBD","QM-QN-DEF","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2929","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0021","Design-to-Operate","Engineering BOM handoff","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F6726","Hand Over Engineering Bills of Material (EBOM)","Production Engineer - Discrete Manufacturing","SAP_PLM_BC_PLMINTG_PC","TBD","PLM-INT-EPD","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S36","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F6726","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0022","Design-to-Operate","Engineering change","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F2097","Manage Change Records","Development Manager - Discrete Industries","SAP_PLM_BC_CR","TBD","PLM-CR","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2097","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0023","Design-to-Operate","Engineering change","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","F2212","Manage Change Masters","Development Manager - Discrete Industries","SAP_PLM_BC_CM","TBD","PLM-WUI-OBJ-ECN","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Public Cloud / Private Cloud Edition / On-Premise validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F2212","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0024","Design-to-Operate","Engineering change fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CC01","Create Change Master","Other","Without Catalog Assignment","TBD","PLM-WUI-OBJ-ECN","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CC01","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0025","Design-to-Operate","Engineering change fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CC02","Change Change Master","Other","Without Catalog Assignment","TBD","PLM-WUI-OBJ-ECN","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CC02","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0026","Design-to-Operate","Engineering change fallback","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","CC03","Display Change Master","Other","Without Catalog Assignment","TBD","PLM-WUI-OBJ-ECN","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","CC03","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0027","Design-to-Operate","Engineering change request","Engineering change management and product structures","TBD - validate in SAP Process Navigator / tenant","/PLMU/WDA_ECR_APP_OIF (/PLMU/WDA_ECR_APP_OIF_CFG)","Change Engineering Record, Create Engineering Record, Display Engineering Record","BOM Engineer","SAP_PLM_BC_ER","TBD","PLM-WUI-OBJ-ECR","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","/PLMU/WDA_ECR_APP_OIF (/PLMU/WDA_ECR_APP_OIF_CFG)","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0028","Design-to-Operate","Equipment fact sheet","Technical object and asset master data","TBD - validate in SAP Process Navigator / tenant","F0226","Equipment","Maintenance Technician","Without Catalog Assignment","TBD","PM-FIO","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","W13","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","F0226","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"SCI-TRACE-0029","Design-to-Operate","Equipment fallback","Technical object and asset master data","TBD - validate in SAP Process Navigator / tenant","IE01","Create Equipment","Other","Without Catalog Assignment","TBD","PM-EQM","Not applicable - FARL refresh only","Not applicable","Not applicable","Not applicable - FARL refresh only","Not applicable","Not applicable","TBD - SCI-006 pending","TBD - SCI-006 pending","Private Cloud Edition / On-Premise; Public Cloud validation pending","S32PCE","Mexico","Audit / SoD / Mexico validation pending","FARL","https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/","IE01","2026-07-19","FARL sourced","Tenant validation pending","Yes, before project use or derived matrix refresh","Tenant activation, official scope item, business role/catalog, launchpad visibility, edition and licensing not confirmed","Operations / Maintenance / Quality / EHS Owner","Validate app, role/catalog and scope item before client commitment","SourceFile=docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
