"ProcessFamily","Source","Workshop","Subprocess","AppId","AppName","ScopeItemId","ScopeItemCandidate","ScopeItemConfidence","SAPBestPracticesValidation","TenantScopeValidation","TestScriptReference","BusinessOwner","FitGapDecision","DecisionStatus","PublicCloud2602","BusinessCatalog","Component","SourceFile"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM mass maintenance","F6863","Mass maintenance of bill of material headers","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_MBOM","PLM-FIO-BOM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM transfer log","F8118","Display Transfer Logs for Bills of Material","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","SAP_LLS_BC_ADM_SYC_LOG_PRE","FT-LEG-MDT","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","BOM visualization","F7802","Visualize Bill of Material","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","SAP_PLM_BC_MBOM","CA-DMS-CNV","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Change master fallback UI","/PLMU/WDA_ECN_OIF (/PLMU/WDA_ECN_OIF_CFG)","Change Change Master, Create Change Master, Display Change Master","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate EHS and product compliance","Chemical approvals","F2243","Monitor Approved Chemicals","TBD - validate in SAP Process Navigator / tenant","EHS and product compliance","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","EHS / Product Compliance Owner","TBD - standard first","Open","No / validar","SAP_EHS_BC_HS_RSK_MGMT","EHS-SUS-HS","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate EHS and product compliance","Chemical approvals","F2244","My Chemical Approvals","TBD - validate in SAP Process Navigator / tenant","EHS and product compliance","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","EHS / Product Compliance Owner","TBD - standard first","Open","No / validar","SAP_EHS_BC_HS_RSK_MGMT","EHS-SUS-HS","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate EHS and product compliance","Chemical risk","F2161","Chemical Risks - Detailed Analysis","TBD - validate in SAP Process Navigator / tenant","EHS and product compliance","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","EHS / Product Compliance Owner","TBD - standard first","Open","No / validar","SAP_EHS_BC_HS_HAZMAT_MGMT","EHS-SUS-HS","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate EHS and product compliance","Dangerous goods compliance","F7712","Configure Compliance Requirements - Dangerous Goods Regulations","TBD - validate in SAP Process Navigator / tenant","EHS and product compliance","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","EHS / Product Compliance Owner","TBD - standard first","Open","Si","SAP_PSS_BC_PC_DG_CNFG_PC","EHS-SUS-DG","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Defect processing","F8046","Process Defects","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_DEFECTS_PC","QM-QN-DEF","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Defect recording","F2929","Record Defects","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_DEFECT","QM-QN-DEF","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering BOM handoff","F6726","Hand Over Engineering Bills of Material (EBOM)","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_PLMINTG_PC","PLM-INT-EPD","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change","F2097","Manage Change Records","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","SAP_PLM_BC_CR","PLM-CR","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change","F2212","Manage Change Masters","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","Si","SAP_PLM_BC_CM","PLM-WUI-OBJ-ECN","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change fallback","CC01","Create Change Master","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change fallback","CC02","Change Change Master","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change fallback","CC03","Display Change Master","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PLM-WUI-OBJ-ECN","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Engineering change request","/PLMU/WDA_ECR_APP_OIF (/PLMU/WDA_ECR_APP_OIF_CFG)","Change Engineering Record, Create Engineering Record, Display Engineering Record","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","SAP_PLM_BC_ER","PLM-WUI-OBJ-ECR","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Equipment fact sheet","F0226","Equipment","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Equipment fallback","IE01","Create Equipment","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-EQM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Equipment fallback","IE02","Change Equipment","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-EQM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Field data capture","F1041","Capture Field Data","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","No / validar","SAP_OILUPS_BC_FDOPERATOR","IS-OIL-UOM-FDC","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Functional location fact sheet","F0227","Functional Location","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Functional location fallback","IL01","Create Functional Location","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-EQM-FL","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Functional location fallback","IL02","Change Functional Location","TBD - validate in SAP Process Navigator / tenant","Engineering change management and product structures","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM-EQM-FL","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection analytics","F3273","Inspection Lot Detailed Analytics","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_ANALYTICS","QM-QC-IS","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection characteristic","F2219","Display Master Inspection Characteristic","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_MSTR_INSP_CHARC","QM-FIO-PT","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection checklist","F6607","Manage Inspection Checklists","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","No / validar","SAP_EAM_BC_INSPCHKLST","PM-FIO-WOC-CHL","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection lot","F2343","Manage Inspection Lots","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_INSPECTION_LOT","QM-FIO-IM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate product lifecycle and engineering change","Inspection processing fallback","QA32","Change Data for Inspection Lot","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Engineering / PLM Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","QM-IM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection results","F1685A","Record Inspection Results (Version 2)","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_RESULT_RECG","QM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection results","F3365","Record Inspection Results in Table Form","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","Si","SAP_QM_BC_RESULT_RECG","QM-IM-RR","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate quality, defects and inspection","Inspection results fallback","QE51N","Results Recording Worklist","TBD - validate in SAP Process Navigator / tenant","Quality management and defect processing","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Quality Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","QM-IM-RR","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate permit-to-work and operational safety","Isolation certificate templates","F8505","Manage Isolation Certificate Templates","TBD - validate in SAP Process Navigator / tenant","Permit-to-work and operational safety","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance / EHS Owner","TBD - standard first","Open","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate permit-to-work and operational safety","Isolation certificates","F8504","Manage Isolation Certificate","TBD - validate in SAP Process Navigator / tenant","Permit-to-work and operational safety","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance / EHS Owner","TBD - standard first","Open","No / validar","SAP_WCM_BC_PTW","PM-FIO-WCM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Job card","EAMS_WDA_JOB_PREVIEW_OIF (EAMS_WDA_JOB_PREVIEW_OIF_CFG)","Job Card","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Job reference document","EAMS_WDA_JOB_OIF (EAMS_WDA_JOB_OIF_CFG_V2)","Display Reference Document for Job","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","Without Catalog Assignment","PM","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate asset and technical object foundation","Linear asset data","F7018","View Dynamic Segments of Linear Data","TBD - validate in SAP Process Navigator / tenant","Technical object and asset master data","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Master Data Owner","TBD - standard first","Open","No / validar","SAP_EAM_BC_NWGRAPH_DSP","PM-EQ","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Maintenance app logs","F8707","Application Logs - Manage Maintenance Notifications and Orders","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","Si","SAP_EAM_BC_MNTWRK_MNG_PC","PM-FIO-WOC-MO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Maintenance backlog","F4073","Manage Maintenance Backlog","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","Si","SAP_EAM_BC_PLNBKTS_MNG","PM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Maintenance backlog","F5105","Maintenance Backlog Overview","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","Si","SAP_EAM_BC_PLNBKTS_MNG","PM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
"Design-to-Operate","D2Operate","D2Operate maintenance planning, orders and execution","Maintenance completion","F8724","Find Maintenance Orders for Completion","TBD - validate in SAP Process Navigator / tenant","Maintenance management, planning and execution","Internally validated candidate - official scope ID pending","Not confirmed - validate scope item, process flow, test script and country/edition availability","Pending - confirm activated scope and role visibility in tenant","TBD - link SAP Best Practices / Cloud ALM test script","Maintenance Planner / Operations Owner","TBD - standard first","Open","Si","SAP_EAM_BC_ORD_MNG_PC","PM-FIO","docs/deliverables/s4hana-fiori-design-to-operate-app-inventory.md"
