Module,ProcessArea,SourceType,SourceName,URL,Release,LastChecked,CoverageUse,ValidationStatus,Notes
"Benefits","Employee benefits enrollment and self-service experience","SAP Help Portal employee UI topic","Latest Benefits Overview Screen for Employees","https://help.sap.com/docs/successfactors-employee-central/implementing-global-benefits/a85cec7000ad4b9d8a300277127f8b16.html","1H 2026","2026-08-03","Source for employee benefits overview, benefit actions, current and upcoming enrollments, benefits available to enroll, life events, family members and benefit statements.","Source-guided; tenant validation pending","Validate latest benefits enrollment experience, benefit types, eligibility, family-member handling, approvals, employee access and localization."
"Benefits","Benefits evidence and employee confirmation statement","SAP Help Portal configuration topic","Benefit Confirmation Statement","https://help.sap.com/docs/successfactors-employee-central/implementing-global-benefits/78204f2b75f140fb8101565fd51061ce.html","1H 2026","2026-08-03","Source for confirmation statements summarizing benefit selections, dependents, beneficiaries, cost or contribution information and document generation dependencies.","Source-guided; tenant validation pending","Use as evidence prompt only. Confirm template import, document generation, legal entity, language, employee visibility and retention requirements."
"Benefits","Benefits payroll and deduction handoff","SAP Help Portal integration topic","How to Integrate Global Benefits with Payroll?","https://help.sap.com/docs/SAP_SUCCESSFACTORS_EMPLOYEE_CENTRAL/6e6f99c62c644fc9a3111a3063dc8a62/3b033405d5774e9fadb8b00b0424642c.html","1H 2026","2026-08-03","Source for Global Benefits payroll integration modes: Pay Components and Benefit Objects, including compensation and deduction object handoff patterns.","Source-guided; payroll validation pending","Validate payroll boundary, pay components, recurring deductions, benefit objects, ECP or external payroll integration, country rules and finance/accounting impacts."
"Recruiting","Attract-to-hire, requisitions, candidates, applications, offers","SAP Help Portal product page","SAP SuccessFactors Recruiting","https://help.sap.com/docs/successfactors-recruiting?locale=en-US%2Cen-US","1H 2026","2026-08-03","Anchor for Recruiting setup, career sites, candidate relationship management, job distribution, third-party assessment/vendor integrations, and best practices.","Source-guided; tenant validation pending","Validate Recruiting Management, Recruiting Marketing, Recruiting Posting, career site, RBP, templates, and vendor integrations against client scope."
"Recruiting","Recruiting implementation start point","SAP Help Portal configuration topic","Getting Started with Recruiting Configuration","https://help.sap.com/docs/successfactors-recruiting/setting-up-and-maintaining-sap-successfactors-recruiting/getting-started-with-recruiting-configuration","1H 2026","2026-08-03","Source for sequencing platform setup before Recruiting, core requisition/candidate/application/offer configuration, career site setup, CRM, and job board distribution.","Source-guided; tenant validation pending","Use for workshop questions and backlog sequencing; tenant templates and configuration workbooks remain required."
"Onboarding","New hire, crossboarding, offboarding, task/document flows","SAP Help Portal product page","SAP SuccessFactors Onboarding","https://help.sap.com/docs/successfactors-onboarding?locale=en-US","1H 2026","2026-08-03","Anchor for Onboarding implementation, RBP, tenant setup, Onboarding 1.0 boundary, APIs, and SAP Best Practices.","Source-guided; tenant validation pending","Confirm whether current Onboarding or Onboarding 1.0 is in scope. Validate compliance forms, document flows, process variants, and local requirements."
"Onboarding","Recruit-to-hire handoff and onboarding process scope","SAP Help Portal Best Practices topic","Manage Onboarding Initiated from Recruiting","https://help.sap.com/docs/successfactors-onboarding/implementing-sap-successfactors-onboarding-with-sap-best-practices/manage-onboarding-initiated-from-recruiting-4gv","1H 2026","2026-08-03","Source for Recruiting-initiated onboarding process flow, new hire data review, tasks, generated documents, Manage Pending Hires, and test-script linkage.","Source-guided; tenant validation pending","Best Practices scope item 4GV is a candidate until activated scope, test script, and tenant evidence are confirmed."
"Time Management","Absence, attendance, Time Off, Time Sheet","SAP Help Portal implementation guide","Implementing Time Management in SAP SuccessFactors","https://help.sap.com/docs/successfactors-employee-central/implementing-time-management-in-sap-successfactors/implementation-of-employee-central-time-management","1H 2026","2026-08-03","Anchor for Time Off, Time Sheet, planned working time, permissions, workflows, and time recording variants.","Source-guided; tenant validation pending","Validate time types, work schedules, holiday calendars, approvals, time valuation, payroll replication, and country/legal rules."
"Time Management","Attendance, advanced time capture, Time Tracking subscription boundary","SAP Help Portal concept topic","Time Management in SAP SuccessFactors","https://help.sap.com/docs/successfactors-employee-central/implementing-time-management-in-sap-successfactors/time-management-in-sap-successfactors?source=redirect","1H 2026","2026-08-03","Source for distinguishing Employee Central Time Management, Time Off, Time Sheet, and SAP SuccessFactors Time Tracking.","Source-guided; subscription validation pending","Time Tracking may require separate subscription. Confirm licensing, provisioning, and Upgrade Center activation before scope claims."
"Time Tracking","Advanced attendance and time-entry scenarios","SAP Help Portal test script/reference topic","Manage Time Tracking - Requirements","https://help.sap.com/docs/successfactors-time-tracking/manage-time-tracking-test-script/requirements","1H 2026","2026-08-03","Source for Time Tracking prerequisites such as Time Sheet, new Time Sheet UI, Time Off, Best Practices, and provisioning enablement.","Source-guided; tenant validation pending","Use as readiness checklist input only; tenant provisioning and subscription evidence are required."
"Employee Central Payroll","Payroll execution, payroll control, time and master-data replication","SAP Help Portal product page","SAP SuccessFactors Employee Central Payroll","https://help.sap.com/docs/SAP_SUCCESSFACTORS_EMPLOYEE_CENTRAL_PAYROLL?locale=en-US&task=implement_task","1H 2026","2026-08-03","Anchor for EC Payroll based on SAP HCM for SAP S/4HANA or ERP HCM, point-to-point replication, Payroll Control Center, country specifics, and best practices.","Source-guided; tenant and legal validation pending","For Mexico, require payroll boundary, CFDI nomina, PAC/SAT evidence, country localization, accounting posting design, and payroll owner signoff."
"Employee Central Payroll","Country-specific payroll replication fields and localization prompts","SAP Help Portal reference guide","Country/Region-Specifics for Employee Central Payroll","https://help.sap.com/docs/SAP_SUCCESSFACTORS_EMPLOYEE_CENTRAL_PAYROLL/97ffda9ee37947dd9ac523aa79e1de8a/193b97606d624a779be63b5afab6e39f.html","1H 2026","2026-08-03","Source for country/region-specific replication fields and mapping between Employee Central and Employee Central Payroll infotypes.","Source-guided; country/legal validation pending","Does not by itself prove Mexico payroll compliance or CFDI output. Pair with client payroll provider, statutory evidence, and tax/legal review."
"Learning","Learning administration, assignments, curricula, compliance learning","SAP Help Portal product area","SAP SuccessFactors Learning","https://help.sap.com/docs/successfactors-learning","1H 2026","2026-08-03","Anchor for Learning user/admin guides, learning assignments, curricula, libraries, content import, approvals, reporting, and IAS/IPS integration.","Source-guided; tenant validation pending","Validate Learning architecture, external learners, libraries, curricula, content providers, iContent, role model, and completion evidence."
"Learning","Learning identity integration","SAP Help Portal integration guide","Setting Up SAP SuccessFactors Learning with Identity Authentication and Identity Provisioning Services","https://help.sap.com/docs/successfactors-learning/setting-up-sap-successfactors-learning-with-identity-authentication-and-identity-provisioning-services/sap-successfactors-learning-with-identity-authentication","1H 2026","2026-08-03","Source for Learning-only user identity handling, IAS, IPS, SSO, and provisioning considerations.","Source-guided; tenant validation pending","Important for external learner scenarios and IAM handoff; requires identity landscape and security approval."
"Performance and Goals","Goal management, performance forms, 360 reviews, calibration, continuous performance","SAP Help Portal product page","SAP SuccessFactors Performance and Goals","https://help.sap.com/docs/successfactors-performance-and-goals","1H 2026","2026-08-03","Anchor for Goal Management, Performance Management, 360 Reviews, Calibration, Continuous Performance Management, and best practices.","Source-guided; tenant validation pending","Validate templates, route maps, rating scales, RBP, form launch rules, calibration setup, and reporting expectations."
"Compensation","Compensation planning, statements, variable pay, reward/recognition","SAP Help Portal implementation guide","Implementing and Managing Compensation","https://help.sap.com/docs/SAP_SUCCESSFACTORS_COMPENSATION/d2457f2b6a8f4429b46314ee814fc666/c974418096354bf993d6365a094e19b9.html","1H 2026","2026-08-03","Anchor for Compensation solution capabilities, planning, program setup, and compensation management design questions.","Source-guided; tenant validation pending","Validate integration to EC, performance prerequisites, worksheets, eligibility, budgets, guidelines, permissions, statements, and country pay practices."
"Succession and Development","Succession planning, career development, mentoring, talent pipeline","SAP Help Portal product page","SAP SuccessFactors Succession and Development","https://help.sap.com/docs/SAP_SUCCESSFACTORS_SUCCESSION_AND_DEVELOPMENT?locale=en-US","1H 2026","2026-08-03","Anchor for Career Development Planning, Succession, mentoring, best practices, and enablement journeys.","Source-guided; tenant validation pending","Validate talent pools, nomination methods, permissions, talent search, calibration interactions, and privacy constraints."
"Workforce Analytics","People analytics, workforce metrics, planning and reporting","SAP Help Portal guide","SAP SuccessFactors Workforce Analytics","https://help.sap.com/docs/sap-successfactors-workforce-analytics/using-workforce-analytics/sap-successfactors-workforce-analytics","1H 2026","2026-08-03","Anchor for WFA concepts, data sources, metrics, measures, cubes, and analysis workspace.","Source-guided; tenant validation pending","Validate whether WFA on SAP HANA, WFA on SQL, People Analytics Stories, or another analytics path is in scope."
"Work Zone","Employee experience workspace and HR cards/templates","SAP Help Portal change history","SAP SuccessFactors Work Zone Change History","https://help.sap.com/docs/successfactors-work-zone/configuring-and-using-sap-successfactors-work-zone/change-history?locale=en-US&version=LATEST","1H 2026","2026-08-03","Anchor for current Work Zone documentation changes, cards, quick actions, guided experiences, templates, and integration notes.","Source-guided; tenant validation pending","Use with Work Zone product docs and BTP role/trust evidence; do not infer enabled cards/templates without tenant evidence."
"Integration / API","OData V2 API access to SuccessFactors data","SAP Help Portal API reference","SAP SuccessFactors API Reference Guide - OData V2","https://help.sap.com/docs/successfactors-platform/sap-successfactors-api-reference-guide-odata-v4/03e1fc3791684367a6a76a614a2916de.html?locale=en-US","1H 2026","2026-08-03","Anchor for OData V2 API concepts, CRUD operations, metadata, and API access patterns.","Source-guided; tenant validation pending","Confirm API user, permission model, authentication, API visibility, rate/volume constraints, endpoint domain, and data privacy controls."
"Integration / API","API discovery and sandbox examples","SAP Business Accelerator Hub help","Consuming an API Using a Code Snippet","https://help.sap.com/docs/SAP_API_BUSINESS_HUB/e56a6c50d31541ea826021dc8e721a53/consuming-api-using-code-snippet","Current SAP Help topic","2026-08-03","Source for Business Accelerator Hub discovery and API sandbox/code snippet usage patterns for SuccessFactors APIs.","Source-guided; sandbox only","Do not use sandbox behavior as tenant proof. Production API calls require authenticated client tenant setup and security approval."
"Process Library","Leading HR process practices and diagrams","SAP Community official SuccessFactors page","SAP SuccessFactors Process Library","https://pages.community.sap.com/topics/successfactors/process-library","2605 library noted on page","2026-08-03","Source for HR process descriptions, process diagrams, downloadable process summaries, and SAP Signavio/Cloud ALM process consumption.","Source-guided; customer process validation pending","Use for Fit-to-Standard process prompts. Confirm exact process version and customer access to Signavio/Cloud ALM content."
"Implementation Governance","Design principles and implementation decisions","SAP Community official SuccessFactors page","SAP SuccessFactors Implementation Design Principles","https://pages.community.sap.com/topics/successfactors/implementation-design-principles","Current SAP Community page","2026-08-03","Source for IDPs covering Employee Central, Learning security, Talent Intelligence Hub, Integration Center/Cloud Integration, RBP, mobile, Work Zone, and instance strategy.","Source-guided; applicability validation pending","Treat IDPs as design guidance, not tenant proof. Confirm customer scenario, licenses, release, and implementation constraints."
"Architecture Governance","Architecture leading practices","SAP Community official SuccessFactors page","SAP SuccessFactors Architecture Leading Practices","https://pages.community.sap.com/topics/successfactors/architecture-leading-practices","Current SAP Community page","2026-08-03","Source for instance, translation, rollout, migration, integration, privacy/retention, testing, payroll strategy, and cross-module interaction prompts.","Source-guided; architecture validation pending","Use in design reviews with landscape evidence and owner approval."
"Cloud ALM","Implementation and operations traceability","SAP Support Portal official page","SAP Cloud ALM for SAP SuccessFactors","https://support.sap.com/en/alm/sap-cloud-alm/sap-cloud-alm-for-successfactors.html","Current SAP Support page","2026-08-03","Source for SAP Cloud ALM implementation, process scope, fit-to-standard, task tracking, monitoring, scheduled jobs, integration center, and replication monitoring claims.","Source-guided; tenant validation pending","Confirm Cloud ALM tenant, project scope, imported process content, monitoring setup, and access before relying on it for delivery status."
"UX / Design","SuccessFactors UX patterns and design constraints","SAP Design System","SuccessFactors UX Guidelines","https://www.sap.com/design-system/hcm","Current SAP design page","2026-08-03","Source for SuccessFactors UX components, patterns, floorplans, layouts, and design-development guidance.","Source-guided; implementation validation pending","Use only for UX/design alignment. Validate extension technology, SAP Build Work Zone/BTP constraints, accessibility, and customer branding strategy."
